"Time","HLT_mu5_mucombTag_L1MU20VFC"
2023-04-30 09:10:28,0
2023-04-30 10:54:01,0
2023-04-30 10:59:28,550
2023-04-30 11:04:55,2804
2023-04-30 11:10:22,5305
2023-04-30 11:15:49,5707
2023-04-30 11:21:16,3858
2023-04-30 11:26:43,3083
2023-04-30 11:32:10,2905
2023-04-30 11:37:37,4896
2023-04-30 11:43:04,5118
2023-04-30 11:48:31,3643
2023-04-30 11:53:58,4317
2023-04-30 11:59:25,1610
2023-04-30 12:04:52,3138
2023-04-30 12:10:19,4197
2023-04-30 12:15:46,4117
2023-04-30 12:21:13,4162
2023-04-30 12:26:40,3752
2023-04-30 12:32:07,5227
2023-04-30 12:37:34,5573
2023-04-30 12:43:01,5257
2023-04-30 12:48:28,5383
2023-04-30 12:53:55,4982
2023-04-30 12:59:22,5034
2023-04-30 13:04:49,5067
2023-04-30 13:10:16,5006
2023-04-30 13:15:43,4909
2023-04-30 13:21:10,4896
2023-04-30 13:26:37,4977
2023-04-30 13:32:04,5126
2023-04-30 13:37:31,5015
2023-04-30 13:42:58,5010
2023-04-30 13:48:25,4961
2023-04-30 13:53:52,4907
2023-04-30 13:59:19,4957
2023-04-30 14:04:46,5079
2023-04-30 14:10:13,5024
2023-04-30 14:15:40,4976
2023-04-30 14:21:07,4866
2023-04-30 14:26:34,4879
2023-04-30 14:32:01,4850
2023-04-30 14:37:28,4787
2023-04-30 14:42:55,4708
2023-04-30 14:48:22,4696
2023-04-30 14:53:49,4684
2023-04-30 14:59:16,4637
2023-04-30 15:04:43,4601
2023-04-30 15:10:10,4590
2023-04-30 15:15:37,4563
2023-04-30 15:21:04,4541
2023-04-30 15:26:31,4587
2023-04-30 15:31:58,4987
2023-04-30 15:37:25,5146
2023-04-30 15:42:52,5034
2023-04-30 15:48:19,5092
2023-04-30 15:53:46,5043
2023-04-30 15:59:13,4986
2023-04-30 16:04:40,4930
2023-04-30 16:10:07,4796
2023-04-30 16:15:34,4840
2023-04-30 16:21:01,4807
2023-04-30 16:26:28,4771
2023-04-30 16:31:55,4732
2023-04-30 16:37:22,4687
2023-04-30 16:42:49,4640
2023-04-30 16:48:16,4611
2023-04-30 16:53:43,4550
2023-04-30 16:59:10,4458
2023-04-30 17:04:37,4445
2023-04-30 17:10:04,4428
2023-04-30 17:15:31,4400
2023-04-30 17:20:58,4365
2023-04-30 17:26:25,4292
2023-04-30 17:31:52,3853
2023-04-30 17:37:19,4025
2023-04-30 17:42:46,4246
2023-04-30 17:48:13,4211
2023-04-30 17:53:40,4319
2023-04-30 17:59:07,4967
2023-04-30 18:04:34,4968
2023-04-30 18:10:01,4978
2023-04-30 18:15:28,4657
2023-04-30 18:20:55,2008
